env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
indoor,C0,20,12,900,120,0,0,1,1,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,2,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,3,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,4,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,5,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,6,39,39,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,7,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,8,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,9,39,39,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,10,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,11,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,12,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,13,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,14,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,15,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,16,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,17,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,18,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,19,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,20,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,21,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,22,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,23,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,24,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,25,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,26,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
